id,triplestoreid,procedurestepname,modifiedby,modifiedat,procedurestepdescription,procedurestepscopenote,proceduresteplinknote,procedurestepdatenote,proceduresteppublicationid,proceduresteptypeid,legislatureid,label,step_collections_concatenated,step_houses_concatenated,actualised_alongside_concatenated
2,vOCSRhjw,Chamber debate,sunleyj@parliament.uk,2022-09-02 11:46:18+01,"Debates in the House of Lords Chamber take place for affirmative instruments on a motion that ""the instrument be approved"". Debates in the Chamber can also take place for negative instruments, there are three possible motions for such instruments - that ""an Humble Address"" be presented to Her Majesty praying that the instrument be annulled; motions inviting the House to call on the government to take action or record a particular point of view, without annulling the instrument itself; or a neutral ""take note"" motion.","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. ",Lords Hansard debate URL,Date of debate ,779,1,,Chamber debate (House of Lords),"6, 4",2,
3,RnTwilWz,Motion (prayer) to stop the instrument becoming law tabled,sunleyj@parliament.uk,2022-09-02 11:46:49+01,"A statutory instrument laid under the draft negative procedure cannot be made into law (signed by the minister) if either House approves a motion - or a 'prayer' - to stop the instrument becoming law within 40 sitting days of the instrument being laid.  In the Commons, such motions are usually tabled as an Early Day Motion.","Motion text will refer to ""be not made"" or ""annul""",EDM page,Date tabled,780,1,,Motion (prayer) to stop the instrument becoming law tabled (House of Commons),"7, 4",1,
4,cspzmb6w,Laid before the House of Commons,sunleyj@parliament.uk,2022-10-03 09:31:11+01,"Laying before the House of Commons is the formal registration of a paper. Papers include, but are not limited to, statutory instruments, proposed negative statutory instruments and treaties.  Most papers are laid before both Houses, while some, to do with financial/tax matters, are laid before the House of Commons only. ",All workpackages require this step. For instruments laid in recess the date laid will be the date laid and not the date of the Vote. Links to the Vote to be added retrospectively when the Vote is published on the return of the House. Check procedure flowcharts to be exact on steps to be actualised alongside. ,V&P - anchor link,Date laid (this will not always be the same as the date of the Vote),1066,1,,Laid before the House of Commons (House of Commons),4,1,
5,iW9MbyrD,Non-fatal motion (prayer) to object to the instrument tabled,sunleyj@parliament.uk,2022-09-02 11:48:40+01,"A non-fatal motion does not stop a statutory instrument being law but may be used by either House to indicate concern. The most common non-fatal motion in the Lords is a motion to regret. The motion usually gives specific reasons for the regret. Even if agreed, the motion cannot stop or amend the statutory instrument, but gives members an opportunity to put on record their dissent.","Motion text will refer to ""revoke"" or ""withdraw"". ",Lords business paper - under Motions related to delegated legislation,Date tabled - first appearance in the LBP -1,782,1,,Non-fatal motion (prayer) to object to the instrument tabled (House of Lords),"7, 4",2,
6,5xTe6nwE,Motion (prayer) to stop the instrument being law tabled,sunleyj@parliament.uk,2022-09-02 11:51:16+01,"A statutory instrument laid under the negative procedure becomes law on the day the Minister signs it and automatically remains law unless a motion ? or ?prayer? ? to reject it is agreed by either House within 40 sitting days of the instrument being laid.  In the Commons, such motions are usually tabled as an Early Day Motion.","Motion text will refer to ""be not made"" or ""annul""",EDM,Date tabled,783,1,,Motion (prayer) to stop the instrument being law tabled (House of Commons),"7, 4",1,
7,zv4UnLbU,Non-fatal motion (prayer) to object to the instrument rejected,sunleyj@parliament.uk,2022-09-02 12:09:53+01,"A non-fatal motion does not stop a statutory instrument being law but may be used by either House to indicate concern. The most common non-fatal motion in the Lords is a motion to regret. The motion usually gives specific reasons for the regret. Even if agreed, the motion cannot stop or amend the statutory instrument, but gives members an opportunity to put on record their dissent.",Will usually follow a Chamber debate or as a formal proceeding following a GC debate. It could be grouped with the approval motion question itself. ,Lords individual minute link,Date of the decision,794,1,,Non-fatal motion (prayer) to object to the instrument rejected (House of Lords),4,2,48
8,9ouoghbQ,Considered by the Joint Committee on Statutory Instruments (JCSI),sunleyj@parliament.uk,2022-09-02 11:58:14+01,Consideration completed by the Joint Committee on Statutory Instruments (JCSI) within their terms of reference.,We will first see notice of the report in the Vote/LBP on a Thursday but the report will be published on a Friday so we actualise retrospectively. ,JCSI report - depends on the outcome for the SI,Date the JCSI met (usually a Wednesday). ,786,1,,Considered by the Joint Committee on Statutory Instruments (JCSI) (House of Commons and House of Lords),,"1, 2","79, 92"
9,OM5fjnQ3,Instrument comes into force as law,sunleyj@parliament.uk,2022-10-03 09:31:45+01,"Some instruments come into force when made, but most contain express provision bringing them into force at a later date (if no later date is given, the default assumption is that an instrument comes into force at the moment of making). The time when an instrument comes into force is known as its ?commencement?","When this gets actualised is dependent on the procedure that the SI is laid under, please check flowcharts before actualising. September 2020 - a discussion took place between IDMS and Daniel Greenberg about made affirmatives laid under the Local Government Finance Act 1988. They are made without a number and are not effective until the Local Government Finance report for England is approved. The discussions led to what 'in effect' and 'into force' mean with Greenberg suggesting they mean different things. After discussion we've established that 'comes into force' is the instruction that makes an instrument effective and therefore ?comes into force? is enough for our maps.",Statutory Instrument (intro page),"Equals CiF date, if there is one; if CiF is covered by note, no date should be added to the business item",1067,1,,Instrument comes into force as law,4,,
10,qGFQ35jt,Considered by the Select Committee on Statutory Instruments (SCSI),sunleyj@parliament.uk,2022-09-02 11:59:12+01,Consideration completed by the Select Committee on Statutory Instruments (SCSI) within their terms of reference.,We will first see notice of the report in the Vote/LBP on a Thursday but the report will be published on a Friday so we actualise retrospectively. ,SCSI report - depends on the outcome of the SI.,Date the SCSI met (usually a Wednesday).,788,1,,Considered by the Select Committee on Statutory Instruments (SCSI) (House of Commons),,1,"69, 70"
12,puVMaN7t,Laid before the House of Lords,sunleyj@parliament.uk,2022-10-03 09:34:15+01,"Laying before the House of Lords is the formal registration of an instrument. Some instruments are laid before both Houses, some, to do with financial/tax matters, are laid before the House of Commons only. ",All treaties and PNSIs require this step but not all Statutory Instruments. For items laid in recess the date laid will be the date laid and not the date of the Lords Business. Links to the LBP to be added retrospectively when the LBP is published on the return of the House,LBP - Papers individual link,Date laid,1068,1,,Laid before the House of Lords (House of Lords),4,2,
