id,title,weblink,enabledby,triplestoreid
4759,Proposal for a draft British Nationality Act 1981 (Remedial) Order,https://www.gov.uk/government/publications/good-character-requirement-a-remedial-order ,urn:procedure-editor:ActOfParliament:1324,TKVZpvUv
4770,Proposal for a Draft Human Fertilisation and Embryology Act 2008 (Remedial) Order,https://www.gov.uk/government/publications/the-governments-response-to-an-incompatibility-in-the-human-fertilisation-and-embryology-act-2008#history  ,urn:procedure-editor:ActOfParliament:1324,O9KRsgom
4772,Proposal for a draft Jobseekers (Back to Work Schemes) Act 2013 (Remedial) Order,https://www.gov.uk/government/publications/proposed-jobseekers-back-to-work-schemes-act-2013-remedial-order-2018 ,urn:procedure-editor:ActOfParliament:1324,qt2iRgFw
4774,Proposal for a Remedial Order to amend the Human Rights Act 1998,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/725298/HRA_1998_Remedial_Order_Act_Paper.pdf ,urn:procedure-editor:ActOfParliament:1324,gpHDoXVI
4776,Proposal for a Remedial Order to amend the Fatal Accidents Act 1976,https://www.gov.uk/government/publications/bereavement-damages-draft-remedial-order ,urn:procedure-editor:ActOfParliament:1324,P4PXgzQX
4779,Proposal for the Draft Bereavement Benefits (Remedial) Order,https://www.gov.uk/government/publications/bereavement-benefits-proposal-for-implementation-of-the-mclaughlin-2018-and-jackson-2020-judgments ,urn:procedure-editor:ActOfParliament:1324,TvviNRhp
4819,Proposal for the draft State Immunity Act 1978 (Remedial) Order,,urn:procedure-editor:ActOfParliament:1324,ydg7qOah
4867,Proposal for the draft State Immunity Act 1978 (Remedial) Order,https://www.gov.uk/government/publications/a-proposal-for-a-remedial-order-to-amend-the-state-immunity-act-1978/a-proposal-for-a-remedial-order-to-amend-the-state-immunity-act-1978,urn:procedure-editor:ActOfParliament:1324,BN2qPIIK
5561,Proposal for the Draft Investigatory Powers Act 2016 (Remedial) Order 2023,https://www.gov.uk/government/publications/amending-the-journalistic-safeguard-of-the-investigatory-powers-act-2016/incompatibility-under-the-human-rights-act-1998-a-proposal-for-a-remedial-order-to-amend-the-journalistic-safeguard-at-section-154-of-the-investigato,urn:procedure-editor:ActOfParliament:1324,jmkePZLR
6858,Proposal for the Draft Northern Ireland Troubles (Legacy and Reconciliation) Act 2023 (Remedial) Order 2024,https://www.gov.uk/government/publications/a-proposal-for-a-remedial-order-to-amend-the-northern-ireland-troubles-legacy-and-reconciliation-act-2023,urn:procedure-editor:ActOfParliament:1324,NDhwg7XY
7321,Proposal for a Draft Human Rights Act 1998 (Remedial) Order 2025,https://www.gov.uk/government/publications/proposal-for-implementation-of-sw-v-uk-judgment,urn:procedure-editor:ActOfParliament:1324,jBEwlZUh
