id,label,availabilityof,starton,endon,hasavailabilitystatus
1,Availability of Made affirmative (1948-01-01 - ),urn:procedure-editor:Procedure:1,1948-01-01,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
2,Availability of Proposed negative statutory instrument (2018-06-26 - ),urn:procedure-editor:Procedure:2,2018-06-26,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
3,Availability of Draft affirmative (1948-01-01 - ),urn:procedure-editor:Procedure:3,1948-01-01,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
4,Availability of Made negative (1948-01-01 - ),urn:procedure-editor:Procedure:4,1948-01-01,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
5,Availability of Draft negative (1948-01-01 - ),urn:procedure-editor:Procedure:5,1948-01-01,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
6,Availability of Treaties subject to the Constitutional Reform and Governance Act 2010 (2010-11-11 - ),urn:procedure-editor:Procedure:6,2010-11-11,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
10,Availability of Published draft under European Union (Withdrawal) Act 2018 (Repealed) (2018-06-26 - 2023-06-29),urn:procedure-editor:Procedure:10,2018-06-26,2023-06-29,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
42,Availability of Proposed draft remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:42,2000-10-02,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
43,Availability of Draft affirmative remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:43,2000-10-02,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
45,Availability of Made affirmative remedial order (2000-10-02 - ),urn:procedure-editor:Procedure:45,2000-10-02,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
47,Availability of Legislative Reform Order (2007-01-08 - ),urn:procedure-editor:Procedure:47,2007-01-08,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
75,Availability of Enhanced affirmative: Investigatory Powers Act 2016 (2016-11-29 - ),urn:procedure-editor:Procedure:75,2016-11-29,,urn:procedure-editor:AvailabilityStatus:4sGJ6xVObCL4KQiPfQ2b6s
